model,query_type,request_idx,tool_idx,function_name,parameters,purpose,tool_count,acknowledges_noise,from_cache
router,clean,2,3,make_restaurant_reservation,"- restaurant_id: [selected restaurant]
  - date: current_date
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually book the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,5,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Search for Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,5,1,get_restaurant_details,"- restaurant_id: [ID from first search]
     - details_needed: [""ratings"", ""reviews"", ""price_range"", ""hours"", ""availability""]
   -",Get detailed information about specific restaurants to ensure quality and verify they're open at desired time,4,False,True
router,clean,5,2,check_reservation_availability,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the specified party size and time,4,False,True
router,clean,5,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation once a suitable restaurant is found with availability,4,False,True
router,clean,6,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -","Search for Italian restaurants in Austin that have outdoor seating and return a list of options with ratings, reviews, and basic details",4,False,True
router,clean,6,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -","Check which of the found restaurants have availability for the requested party size, date, and time",4,False,True
router,clean,6,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,6,3,get_reservation_confirmation,"- reservation_id: [id from make_restaurant_reservation]
   -",Retrieve the confirmation details and any special instructions for the reservation,4,False,True
router,clean,1,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,3,False,True
router,clean,1,1,get_restaurant_availability,"- restaurant_ids: [results from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check which of the found restaurants have availability for the requested party size and time,3,False,True
router,clean,1,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant from previous results]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually book the reservation at the chosen restaurant with the specified parameters,3,False,True
router,clean,0,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,0,1,get_restaurant_availability,"- restaurant_id: [ID from previous search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,0,2,make_restaurant_reservation,"- restaurant_id: [ID from available options]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the selected restaurant with the specified parameters,4,False,True
router,clean,0,3,get_reservation_confirmation,"- reservation_id: [ID from reservation creation]
   -",Retrieve the confirmation details and any special instructions for the reservation,4,False,True
router,clean,7,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
     - sort_by: ""rating""
   -",Search and filter restaurants matching the basic criteria and return a list of options,3,False,True
router,clean,7,1,get_restaurant_availability,"- party_size: 6
     - date: [today's date]
     - time: ""19:30""
     - restaurant_ids: [list from previous search]
   -",Check which of the matched restaurants have availability for the requested party size and time,3,False,True
router,clean,7,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - party_size: 6
     - date: [today's date]
     - time: ""19:30""
     - customer_info: [user's contact details]
   -",Actually book the reservation at the chosen restaurant,3,False,True
router,clean,9,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,9,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: today's date
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,9,2,create_restaurant_reservation,"- restaurant_id: [selected restaurant from available options]
     - date: today's date
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Make the actual reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,9,3,get_restaurant_details,"- restaurant_id: [selected restaurant id]
   -","Retrieve detailed information about the restaurant (address, phone number, menu link, etc.) to provide to the user with their reservation confirmation",4,False,True
router,clean,11,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,11,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check if selected restaurants have availability for the requested party size and time,4,False,True
router,clean,11,2,make_restaurant_reservation,"- restaurant_id: [ID from available options]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - special_requests: ""outdoor seating""
-",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,11,3,get_restaurant_details,"- restaurant_id: [ID of reserved restaurant]
-","Retrieve detailed information about the restaurant (address, parking info, dress code, etc.) to provide to the user",4,False,True
router,clean,8,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
     - sort_by: ""rating""
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,8,1,get_restaurant_details,"- restaurant_id: [ID from search results]
     - fields: [""hours"", ""seating_options"", ""rating"", ""reviews"", ""price_range""]
   -",Get detailed information about specific restaurants from the initial search to verify outdoor seating and operating hours,4,False,True
router,clean,8,2,check_reservation_availability,"- restaurant_id: [ID from selected restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,True
router,clean,8,3,make_reservation,"- restaurant_id: [ID from selected restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation once availability is confirmed,4,False,True
router,clean,13,0,search_restaurants,"- location: ""Austin, Texas""
     - cuisine_type: ""Italian""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,13,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: current_date
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the specified party size and time,4,False,True
router,clean,13,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant ID]
     - date: current_date
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,13,3,get_restaurant_details,"- restaurant_id: [selected restaurant ID]
   -","Retrieve full details about the restaurant (address, phone, menu link, parking info, etc.) to provide to the user",4,False,True
router,clean,12,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Find highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,12,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,12,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant from available options]
     - date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,12,3,get_restaurant_details,"- restaurant_id: [selected restaurant id]
   -","Retrieve full details about the restaurant including address, phone number, menu link, and parking information to provide to the user",4,False,True
router,clean,14,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Search for Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,14,1,get_restaurant_details,"- restaurant_id: [ID from search results]
     - details_requested: [""ratings"", ""reviews"", ""price_range"", ""photos"", ""menu""]
   -",Retrieve detailed information about specific restaurants to help make an informed choice,4,False,True
router,clean,14,2,check_availability,"- restaurant_id: [ID of selected restaurant]
     - party_size: 6
     - date: [today's date]
     - time: ""19:30""
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,True
router,clean,14,3,make_reservation,"- restaurant_id: [ID of selected restaurant]
     - party_size: 6
     - date: [today's date]
     - time: ""19:30""
     - customer_details: [user's contact information]
   -",Actually book the reservation once a suitable restaurant is chosen and availability is confirmed,4,False,True
router,clean,15,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,15,1,get_restaurant_details,"- restaurant_id: [ID from first search]
  - fields: [""hours"", ""capacity"", ""current_wait_time"", ""reviews"", ""menu"", ""photos""]
-",Get detailed information about specific restaurants to verify they can accommodate the group size and are open at the desired time,4,False,True
router,clean,15,2,check_availability,"- restaurant_id: [ID from selection]
  - party_size: 6
  - date: [today's date]
  - time: ""19:30""
-",Check if the selected restaurant has availability for the specified party size and time,4,False,True
router,clean,15,3,make_reservation,"- restaurant_id: [ID from selection]
  - party_size: 6
  - date: [today's date]
  - time: ""19:30""
  - customer_info: [user's contact details]
-",Actually book the reservation once a suitable restaurant is found and availability is confirmed,4,False,True
router,clean,18,0,search_restaurants,"- location: ""Austin, Texas""
     - cuisine_type: ""Italian""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,18,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: today's date
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,18,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - date: today's date
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,18,3,get_reservation_confirmation,"- reservation_id: [id from make_restaurant_reservation]
   -",Retrieve the confirmation details of the reservation to share with the user,4,False,True
router,clean,19,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
     - sort_by: ""rating""
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating,4,False,True
router,clean,19,1,get_restaurant_details,"- restaurant_id: [ID from search results]
   -","Retrieve detailed information about specific restaurants including full menu, exact address, photos, and current ratings/reviews",4,False,True
router,clean,19,2,check_availability,"- restaurant_id: [ID from selected restaurant]
     - date: [today's date]
     - time: ""7:30 PM""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,True
router,clean,19,3,make_reservation,"- restaurant_id: [ID from selected restaurant]
     - date: [today's date]
     - time: ""7:30 PM""
     - party_size: 6
     - customer_name: [user's name]
     - phone_number: [user's phone]
     - email: [user's email]
   -",Actually book the reservation once availability is confirmed,4,False,True
router,clean,17,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,17,1,get_restaurant_details,"- restaurant_id: [ID from first search]
  - fields: [""hours"", ""availability"", ""menu"", ""pricing"", ""photos"", ""reviews""]
-",Retrieve detailed information about specific restaurants to verify they meet all requirements and are open at desired time,4,False,True
router,clean,17,2,check_reservation_availability,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check if the selected restaurant has availability for the specified party size and time,4,False,True
router,clean,17,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually book the reservation once availability is confirmed,4,False,True
router,clean,16,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -","Search for Italian restaurants in Austin that have outdoor seating, returning a list of matching venues with ratings, reviews, and basic info",4,False,True
router,clean,16,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,16,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,True
router,clean,16,3,get_reservation_confirmation,"- reservation_id: [id from make_restaurant_reservation]
   -",Retrieve the confirmation details and any special instructions for the reservation to provide to the user,4,False,True
router,clean,20,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -","Search for Italian restaurants in Austin that have outdoor seating, returning basic info like ratings, prices, and availability",4,False,False
router,clean,20,1,get_restaurant_details,"- restaurant_id: [ID from first search]
   -","Get detailed information about specific restaurants including full menus, exact outdoor seating capacity, photos, and detailed reviews",4,False,False
router,clean,20,2,check_reservation_availability,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,20,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation once a restaurant is selected and confirmed to have availability,4,False,False
router,clean,26,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -","Search for Italian restaurants in Austin that have outdoor seating options and return a list of matches with ratings, reviews, and basic details",4,False,False
router,clean,26,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the specified party size and time,4,False,False
router,clean,26,2,create_reservation,"- restaurant_id: [selected restaurant from available options]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant for the specified party,4,False,False
router,clean,26,3,get_reservation_confirmation,"- reservation_id: [id from create_reservation]
   -",Retrieve the confirmation details and any special instructions for the reservation,4,False,False
router,clean,22,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,22,1,get_restaurant_details,"- restaurant_id: [ID returned from first search]
  - include_hours: true
  - include_availability: true
-",Fetch detailed information about specific restaurants including operating hours and current availability,4,False,False
router,clean,22,2,check_reservation_availability,"- restaurant_id: [ID from previous step]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,22,3,make_restaurant_reservation,"- restaurant_id: [ID from previous steps]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually make the reservation at the selected restaurant with the specified parameters,4,False,False
router,clean,25,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Search for Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,25,1,get_restaurant_details,"- restaurant_id: [ID from first search]
     - details_requested: [""ratings"", ""reviews"", ""photos"", ""menu"", ""price_range""]
   -",Fetch detailed information about specific restaurants to help evaluate options,4,False,False
router,clean,25,2,check_availability,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""7:30 PM""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,25,3,make_reservation,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""7:30 PM""
     - party_size: 6
     - customer_info: [user's contact details]
   -",Actually book the reservation once a suitable restaurant is found,4,False,False
router,clean,23,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - filters: [""outdoor seating""]
  - sort_by: ""rating""
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,23,1,get_restaurant_details,"- restaurant_id: [ID from first search]
  - include_hours: true
  - include_availability: true
-",Retrieve detailed information about specific restaurant(s) including operating hours and current availability,4,False,False
router,clean,23,2,check_reservation_availability,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,23,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually make the reservation once availability is confirmed,4,False,False
router,clean,21,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Search for Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,21,1,get_restaurant_details,"- restaurant_id: [ID from search results]
     - details_required: [""ratings"", ""reviews"", ""price_range"", ""photos"", ""hours""]
   -",Fetch detailed information about specific restaurants to help make an informed choice,4,False,False
router,clean,21,2,check_restaurant_availability,"- restaurant_id: [ID of selected restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,21,3,make_restaurant_reservation,"- restaurant_id: [ID of selected restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
     - customer_info: [user's contact details]
   -",Make the actual reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,27,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- features: [""outdoor seating""]
- min_rating: 4.0",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,27,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
- date: ""today""
- time: ""19:30""
- party_size: 6",Check which of the found restaurants have availability for the requested party size and time,4,False,False
router,clean,27,2,get_restaurant_details,- restaurant_id: [selected restaurant from availability check],"Retrieve detailed information about the available restaurant(s) including menu, photos, exact address, and contact information",4,False,False
router,clean,27,3,make_restaurant_reservation,"- restaurant_id: [selected restaurant]
- date: ""today""
- time: ""19:30""
- party_size: 6
- seating_preference: ""outdoor""",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,24,0,search_restaurants,"- location: ""Austin, Texas""
  - cuisine_type: ""Italian""
  - outdoor_seating: true
  - rating_minimum: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,24,1,get_restaurant_details,"- restaurant_id: [ID from first search]
  - include_reviews: true
  - include_photos: true
  - include_menu: true
-","Retrieve detailed information about specific restaurants including current reviews, photos, and menu options",4,False,False
router,clean,24,2,check_restaurant_availability,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
-",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,24,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
  - date: [today's date]
  - time: ""19:30""
  - party_size: 6
  - seating_preference: ""outdoor""
-",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,29,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
     - sort_by: ""rating""
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,29,1,get_restaurant_details,"- restaurant_id: [ID from first search]
     - fields: [""hours"", ""reviews"", ""menu"", ""photos"", ""seating_options""]
   -",Retrieve detailed information about specific restaurants to verify outdoor seating availability and operating hours,4,False,False
router,clean,29,2,check_reservation_availability,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,29,3,make_reservation,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation once availability is confirmed,4,False,False
router,clean,28,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,28,1,get_restaurant_availability,"- date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - restaurant_ids: [list from search_restaurants results]
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,False
router,clean,28,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant ID]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually make the reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,28,3,get_reservation_confirmation,"- reservation_id: [ID from make_restaurant_reservation]
   -","Retrieve the confirmation details to provide to the user, including reservation number, address, and any special instructions",4,False,False
router,poem,0,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, TX""
- outdoor_seating: true
- minimum_rating: 4.0",Find highly-rated Italian restaurants in Austin that offer outdoor seating,4,False,True
router,poem,0,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the requested party size and time,4,False,True
router,poem,0,2,get_restaurant_details,- restaurant_id: [ID from available options],"Retrieve detailed information about the specific restaurant(s) that have availability, including menu, pricing, exact address, and photos",4,False,True
router,poem,0,3,make_reservation,"- restaurant_id: [selected restaurant ID]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Make the actual reservation at the chosen restaurant,4,False,True
router,poem,1,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- outdoor_seating: true
- minimum_party_size: 6",Search for Italian restaurants in Austin that have outdoor seating and can accommodate 6+ people,4,True,True
router,poem,1,1,check_restaurant_availability,"- restaurant_id: [ID returned from search]
- party_size: 6
- date: [today's date]
- time: ""19:30""","Check if selected restaurants have availability for the specified party size, date and time",4,True,True
router,poem,1,2,make_restaurant_reservation,"- restaurant_id: [ID from selected restaurant]
- party_size: 6
- date: [today's date]
- time: ""19:30""
- special_requests: ""Outdoor seating preferred""",Make the actual reservation at the chosen restaurant,4,True,True
router,poem,1,3,send_confirmation,"- reservation_id: [ID from reservation]
- contact_info: [user's contact details]",Send confirmation details of the reservation to the user,4,True,True
router,poem,2,0,search_restaurants,"- cuisine_type: ""Italian""
- location: ""Austin, Texas""
- outdoor_seating: true",To find Italian restaurants in Austin that have outdoor seating options,4,False,True
router,poem,2,1,check_restaurant_availability,"- date: [today's date]
- time: ""19:30""
- party_size: 6
- restaurant_ids: [list returned from search_restaurants]",To filter restaurants based on availability for the specified party size and time,4,False,True
router,poem,2,2,make_reservation,"- restaurant_id: [selected restaurant ID]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- special_requests: ""outdoor seating preferred""",To actually make the reservation at the chosen restaurant,4,False,True
router,poem,2,3,get_restaurant_details,- restaurant_id: [selected restaurant ID],"To retrieve and return full details about the reserved restaurant including address, contact information, and any special instructions for the guest",4,False,True
router,poem,3,0,search_restaurants,"- location: ""Austin, Texas""
- cuisine_type: ""Italian""
- features: [""outdoor seating""]
- rating_minimum: 4.0",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,True,True
router,poem,3,1,check_restaurant_availability,"- restaurant_id: [ID from search results]
- date: [today's date]
- time: ""19:30""
- party_size: 6",Check if selected restaurants have availability for the specified party size and time,4,True,True
router,poem,3,2,make_restaurant_reservation,"- restaurant_id: [ID of chosen restaurant]
- date: [today's date]
- time: ""19:30""
- party_size: 6
- customer_name: [user's name]
- phone_number: [user's phone]
- email: [user's email]",Make the actual reservation at the chosen restaurant with the specified details,4,True,True
router,poem,3,3,send_confirmation,"- reservation_id: [ID from reservation]
- email: [user's email]
- phone_number: [user's phone]",Send confirmation details to the user via email and/or text message,4,True,True
